19.877165 -16.283150     11946.124023 -6245.829590     -6246.188965 11946.902344     
20.370886 -16.645885     11956.437500 -6192.692383     -6193.065430 11957.254883     
20.871223 -17.012030     11966.419922 -6139.384766     -6139.771484 11967.278320     
21.378202 -17.381561     11976.070312 -6085.907715     -6086.308594 11976.970703     
21.891844 -17.754457     11985.387695 -6032.262695     -6032.677246 11986.332031     
22.412169 -18.130697     11994.371094 -5978.450195     -5978.879395 11995.360352     
22.939198 -18.510260     12003.019531 -5924.471680     -5924.916016 12004.054688     
23.472952 -18.893122     12011.331055 -5870.328125     -5870.787598 12012.415039     
24.013454 -19.279261     12019.305664 -5816.020996     -5816.495605 12020.439453     
24.560726 -19.668653     12026.941406 -5761.551270     -5762.041016 12028.126953     
25.114788 -20.061279     12034.237305 -5706.919434     -5707.424805 12035.476562     
25.675663 -20.457113     12041.193359 -5652.127441     -5652.648438 12042.488281     
26.243372 -20.856134     12047.806641 -5597.175781     -5597.712891 12049.159180     
26.817936 -21.258320     12054.078125 -5542.065918     -5542.619629 12055.490234     
27.399380 -21.663647     12060.004883 -5486.799316     -5487.369141 12061.478516     
27.987724 -22.072090     12065.586914 -5431.376953     -5431.962891 12067.125000     
28.582993 -22.483629     12070.822266 -5375.799805     -5376.402344 12072.426758     
29.185205 -22.898239     12075.709961 -5320.068848     -5320.687988 12077.383789     
29.794386 -23.315895     12080.250000 -5264.185547     -5264.821777 12081.994141     
30.410555 -23.736576     12084.440430 -5208.151367     -5208.804688 12086.256836     
31.033735 -24.160254     12088.280273 -5151.967285     -5152.637207 12090.171875     
31.663950 -24.586906     12091.768555 -5095.634277     -5096.321289 12093.737305     
32.301224 -25.016512     12094.904297 -5039.153320     -5039.857422 12096.952148     
32.945580 -25.449041     12097.685547 -4982.526367     -4983.248047 12099.815430     
33.597034 -25.884474     12100.111328 -4925.754395     -4926.493164 12102.327148     
34.255615 -26.322781     12102.181641 -4868.838379     -4869.594727 12104.484375     
34.921345 -26.763941     12103.893555 -4811.779785     -4812.553223 12106.287109     
35.594250 -27.207926     12105.248047 -4754.580078     -4755.370605 12107.733398     
36.274349 -27.654713     12106.242188 -4697.240234     -4698.047852 12108.822266     
36.961666 -28.104275     12106.875977 -4639.761719     -4640.585938 12109.553711     
37.656223 -28.556585     12107.147461 -4582.145996     -4582.986328 12109.925781     
38.358044 -29.011620     12107.054688 -4524.394043     -4525.250977 12109.937500     
39.067154 -29.469351     12106.598633 -4466.506836     -4467.380371 12109.587891     
39.783577 -29.929754     12105.776367 -4408.486328     -4409.375977 12108.875977     
40.507332 -30.392801     12104.587891 -4350.333496     -4351.239258 12107.799805     
41.238445 -30.858467     12103.031250 -4292.049805     -4292.971191 12106.359375     
41.976940 -31.326723     12101.104492 -4233.636719     -4234.573242 12104.552734     
42.722843 -31.797541     12098.808594 -4175.095215     -4176.047363 12102.378906     
43.476177 -32.270893     12096.140625 -4116.426758     -4117.394043 12099.837891     
44.236965 -32.746758     12093.099609 -4057.633301     -4058.614746 12096.926758     
45.005234 -33.225101     12089.684570 -3998.715820     -3999.711182 12093.645508     
45.781002 -33.705894     12085.894531 -3939.675537     -3940.684570 12089.992188     
46.564297 -34.189114     12081.728516 -3880.513916     -3881.536133 12085.965820     
47.355145 -34.674728     12077.184570 -3821.232666     -3822.267334 12081.566406     
48.153564 -35.162708     12072.261719 -3761.833008     -3762.879639 12076.791992     
48.959587 -35.653023     12066.958984 -3702.316650     -3703.374512 12071.641602     
49.773235 -36.145645     12061.274414 -3642.684814     -3643.753418 12066.113281     
50.594532 -36.640549     12055.207031 -3582.939209     -3584.017578 12060.207031     
51.423500 -37.137703     12048.756836 -3523.081055     -3524.168701 12053.920898     
52.260166 -37.637074     12041.921875 -3463.112061     -3464.208008 12047.253906     
53.104561 -38.138634     12034.701172 -3403.033447     -3404.136963 12040.205078     
53.956703 -38.642349     12027.092773 -3342.847168     -3343.957275 12032.772461     
54.816616 -39.148193     12019.094727 -3282.554688     -3283.670166 12024.956055     
55.684330 -39.656132     12010.708008 -3222.157471     -3223.277344 12016.753906     
56.559868 -40.166134     12001.929688 -3161.656982     -3162.780029 12008.165039     
57.443253 -40.678165     11992.757812 -3101.054688     -3102.179932 11999.188477     
58.334511 -41.192196     11983.193359 -3040.352539     -3041.478760 11989.822266     
59.233669 -41.708195     11973.233398 -2979.552002     -2980.677734 11980.065430     
60.140755 -42.226131     11962.876953 -2918.654785     -2919.778809 11969.917969     
61.055786 -42.745968     11952.123047 -2857.662598     -2858.783447 11959.377930     
61.978798 -43.267673     11940.970703 -2796.576904     -2797.693115 11948.444336     
62.909809 -43.791214     11929.416992 -2735.399414     -2736.509277 11937.115234     
63.848850 -44.316555     11917.462891 -2674.131836     -2675.234131 11925.389648     
64.795944 -44.843662     11905.105469 -2612.775879     -2613.868652 11913.266602     
65.751122 -45.372501     11892.343750 -2551.333496     -2552.414795 11900.745117     
66.714394 -45.903038     11879.177734 -2489.805908     -2490.874268 11887.824219     
67.685806 -46.435238     11865.604492 -2428.195557     -2429.248779 11874.501953     
68.665375 -46.969067     11851.623047 -2366.503906     -2367.540039 11860.776367     
69.653122 -47.504482     11837.233398 -2304.732422     -2305.749512 11846.647461     
70.649078 -48.041451     11822.432617 -2242.883301     -2243.879150 11832.114258     
71.653275 -48.579937     11807.219727 -2180.958496     -2181.930664 11817.173828     
72.665733 -49.119904     11791.594727 -2118.959717     -2119.905762 11801.827148     
73.686478 -49.661316     11775.554688 -2056.888672     -2057.806152 11786.071289     
74.715538 -50.204132     11759.098633 -1994.747314     -1995.633789 11769.906250     
75.752937 -50.748318     11742.226562 -1932.537720     -1933.390381 11753.330078     
76.798706 -51.293831     11724.935547 -1870.261719     -1871.077759 11736.341797     
77.852867 -51.840633     11707.224609 -1807.921265     -1808.697754 11718.940430     
78.915451 -52.388683     11689.092773 -1745.518311     -1746.252319 11701.124023     
79.986481 -52.937943     11670.538086 -1683.054810     -1683.743408 11682.890625     
81.065979 -53.488373     11651.559570 -1620.532837     -1621.172607 11664.241211     
82.153984 -54.039932     11632.157227 -1557.954468     -1558.542114 11645.172852     
83.250511 -54.592579     11612.328125 -1495.321655     -1495.853760 11625.684570     
84.355598 -55.146275     11592.070312 -1432.636475     -1433.109497 11605.775391     
85.469261 -55.700974     11571.384766 -1369.901123     -1370.311279 11585.444336     
